symbol,entry_date,exit_date,entry,target,stop,exit,pnl_pct,days,result
SUNPHARMA,2024-03-22,2024-04-12,1578.72,1673.44,1531.36,1531.36,-3.0,12,STOP
PNB,2024-04-03,2024-04-15,129.81,137.6,125.92,125.92,-3.0,7,STOP
KEI,2024-04-12,2024-04-15,3984.08,4223.12,3864.56,3864.56,-3.0,1,STOP
GRASIM,2024-03-28,2024-04-19,2270.29,2406.5,2202.18,2202.18,-3.0,13,STOP
AARTIIND,2024-04-10,2024-04-19,733.23,777.22,711.23,711.23,-3.0,5,STOP
JSWENERGY,2024-04-18,2024-04-22,623.97,661.41,605.25,605.25,-3.0,2,STOP
INDUSTOWER,2024-04-18,2024-04-23,344.4,365.06,334.07,365.06,6.0,3,TARGET
DMART,2024-04-19,2024-04-26,4696.0,4977.76,4555.12,4555.12,-3.0,5,STOP
INDIGO,2024-04-22,2024-04-26,3720.71,3943.96,3609.09,3943.96,6.0,4,TARGET
AMBUJACEM,2024-04-23,2024-04-30,632.32,670.26,613.35,613.35,-3.0,5,STOP
CONCOR,2024-04-26,2024-04-30,1036.42,1098.61,1005.33,1005.33,-3.0,2,STOP
SIEMENS,2024-04-22,2024-05-06,3374.16,3576.61,3272.94,3576.61,6.0,9,TARGET
POWERGRID,2024-04-30,2024-05-08,282.48,299.43,274.01,274.01,-3.0,5,STOP
CDSL,2024-05-06,2024-05-09,1054.77,1118.05,1023.12,1023.12,-3.0,3,STOP
GRASIM,2024-04-30,2024-05-10,2393.71,2537.33,2321.9,2321.9,-3.0,7,STOP
HAVELLS,2024-04-26,2024-05-14,1619.41,1716.58,1570.83,1716.58,6.0,11,TARGET
DMART,2024-05-08,2024-05-14,4806.75,5095.16,4662.55,4662.55,-3.0,4,STOP
POLYCAB,2024-05-10,2024-05-15,6093.34,6458.94,5910.54,6458.94,6.0,3,TARGET
M&M,2024-05-09,2024-05-16,2178.96,2309.7,2113.59,2309.7,6.0,5,TARGET
HAL,2024-05-14,2024-05-16,3987.61,4226.87,3867.99,4226.87,6.0,2,TARGET
TITAGARH,2024-05-16,2024-05-17,1210.3,1282.92,1173.99,1282.92,6.0,1,TARGET
ASTRAL,2024-05-17,2024-05-21,2292.03,2429.55,2223.27,2223.27,-3.0,1,STOP
HAL,2024-05-16,2024-05-22,4505.31,4775.63,4370.15,4775.63,6.0,3,TARGET
BEL,2024-05-21,2024-05-22,270.12,286.33,262.02,262.02,-3.0,1,STOP
KEI,2024-05-14,2024-05-24,4057.92,4301.4,3936.18,4301.4,6.0,7,TARGET
